,name,section
A035150,백산,1
A035250,강원랜드,1
A035420,NAVER,1
A035510,신세계 I&C,1
A035720,카카오,1
A036460,한국가스공사,1
A036530,S&T홀딩스,1
A036570,엔씨소프트,1
A036580,팜스코,1
A037270,YG PLUS,1
A037560,CJ헬로,1
A037710,광주신세계,1
A039130,하나투어,1
A039490,키움증권,1
A039570,HDC아이콘트롤스,1
A041650,상신브레이크,1
A042660,대우조선해양,1
A042670,두산인프라코어,1
A042700,한미반도체,1
A044380,주연테크,1
A044450,KSS해운,1
A044820,코스맥스비티아이,1
A047040,대우건설,1
A047050,포스코인터내셔널,1
A047400,유니온머티리얼,1
A047810,한국항공우주,1
A049770,동원F&B,1
A049800,우진플라임,1
A051600,한전KPS,1
A051630,진양화학,1
A051900,LG생활건강,1
A051905,LG생활건강우,1
A051910,LG화학,1
A051915,LG화학우,1
A052690,한전기술,1
A053210,스카이라이프,1
A053690,한미글로벌,1
A055490,테이팩스,1
A055550,신한지주,1
A057050,현대홈쇼핑,1
A058430,포스코강판,1
A058650,세아홀딩스,1
A058730,다스코,1
A058850,KTcs,1
A058860,케이티스,1
A060980,한라홀딩스,1
A063160,종근당바이오,1
A064350,현대로템,1
A064960,S&T모티브,1
A066570,LG전자,1
A066575,LG전자우,1
A067830,세이브존I&C,1
A068270,셀트리온,1
A068290,삼성출판사,1
A068400,AJ렌터카,1
A069260,휴켐스,1
A069460,대호에이엘,1
A069500,KODEX 200,10
A069620,대웅제약,1
A069640,한세엠케이,1
A069660,KOSEF 200,10
A069730,DSR제강,1
A069960,현대백화점,1
A070960,용평리조트,1
A071050,한국금융지주,1
A071055,한국금융지주우,1
A071090,하이스틸,1
A071320,지역난방공사,1
A071840,롯데하이마트,1
A071950,코아스,1
A071970,STX중공업,1
A072130,유엔젤,1
A072710,농심홀딩스,1
A073240,금호타이어,1
A074610,나노메딕스,1
A075180,새론오토모티브,1
A075580,세진중공업,1
A077500,유니퀘스트,1
A077970,STX엔진,1
A078000,텔코웨어,1
A078520,에이블씨엔씨,1
A078930,GS,1
A078935,GS우,1
A079160,CJ CGV,1
A079430,현대리바트,1
A079440,오렌지라이프,1
A079550,LIG넥스원,1
A079660,사조해표,1
A079980,휴비스,1
A081000,일진다이아,1
A081660,휠라코리아,1
A082640,동양생명,1
A082740,HSD엔진,1
A083370,동북아12호,4
A083380,동북아13호,4
A083420,그린케미칼,1
A084010,대한제강,1
A084670,동양고속,1
A084680,이월드,1
A084690,대상홀딩스,1
A084695,대상홀딩스우,1
A084870,TBH글로벌,1
A085310,엔케이,1
A085620,미래에셋생명,1
A086280,현대글로비스,1
A086790,하나금융지주,1
A088260,이리츠코크렙,3
A088350,한화생명,1
A088790,진도,1
A088980,맥쿼리인프라,5
A089470,HDC현대EP,1
A089590,제주항공,1
A090080,평화산업,1
A090350,노루페인트,1
A090355,노루페인트우,1
A090370,메타랩스,1
A090430,아모레퍼시픽,1
A090435,아모레퍼시픽우,1
A091090,세원셀론텍,1
A091160,KODEX 반도체,10
A091170,KODEX 은행,10
A091180,KODEX 자동차,10
A091210,TIGER KRX100,10
A091220,TIGER 은행,10
A091230,TIGER 반도체,10
A091810,티웨이항공,1
A092200,디아이씨,1
A092220,KEC,1
A092230,KPX홀딩스,1
A092440,기신정기,1
A092780,동양피스톤,1
A093050,LF,1
A093230,이아이디,1
A093240,형지엘리트,1
A093370,후성,1
A094280,효성ITX,1
A094800,맵스리얼티1,2
A095570,AJ네트웍스,1
A095720,웅진씽크빅,1
A096300,베트남개발1,2
A096760,JW홀딩스,1
A096770,SK이노베이션,1
A096775,SK이노베이션우,1
A097230,한진중공업,1
A097750,TREX 중소형가치,10
A097950,CJ제일제당,1
A097955,CJ제일제당 우,1
A098560,TIGER 방송통신,10
A099140,KODEX China H,10
A099340,하나니켈1호,2
A099350,하나니켈2호,2
A100220,비상교육,1
A100250,진양홀딩스,1
A100840,S&TC,1
A100910,KOSEF KRX100,10
A101060,SBS미디어홀딩스,1
A101140,아티스,1
A101280,KODEX 일본TOPIX100,10
A101530,해태제과식품,1
A102110,TIGER 200,10
A102260,동성코퍼레이션,1
A102280,쌍방울,1
A102460,이연제약,1
A102780,KODEX 삼성그룹,10
A102960,KODEX 기계장비,10
A102970,KODEX 증권,10
A103130,웅진에너지,1
A103140,풍산,1
A103590,일진전기,1
A104520,KOSEF 블루칩,10
A104530,KOSEF 고배당,10
A104700,한국철강,1
A105010,TIGER 라틴35,10
A105190,KINDEX 200,10
A105560,KB금융,1
A105630,한세실업,1
A105780,KBSTAR 5대그룹주,10
A105840,우진,1
A107590,미원홀딩스,1
A108450,KINDEX 삼성그룹섹터가중,10
A108590,TREX 200,10
A108670,LG하우시스,1
A108675,LG하우시스우,1
A109070,컨버즈,1
A111110,호전실업,1
A111770,영원무역,1
A112610,씨에스윈드,1
A114090,GKL,1
A114100,KBSTAR 국고채3년,10
A114260,KODEX 국고채3년,10
A114460,KINDEX 중기국고채,10
A114470,KOSEF 국고채3년,10
A114800,KODEX 인버스,10
A114820,TIGER 국채3년,10
A115390,락앤락,1
A117460,KODEX 에너지화학,10
A117580,대성에너지,1
A117680,KODEX 철강,10
A117690,TIGER 차이나항셍25,10
A117700,KODEX 건설,10
A118000,우리들휴브레인,1
A119650,KC코트렐,1
A120030,조선선재,1
A120110,코오롱인더,1
A120115,코오롱인더우,1
A122090,ARIRANG 코스피50,10
A122260,KOSEF 통안채1년,10
A122630,KODEX 레버리지,10
A122900,아이마켓코리아,1
A123310,TIGER 인버스,10
A123320,TIGER 레버리지,10
A123690,한국화장품,1
A123700,SJM,1
A123890,한국자산신탁,1
A126560,현대에이치씨엔,1
A128820,대성산업,1
A128940,한미약품,1
A129260,인터지스,1
A130660,한전산업,1
A130680,TIGER 원유선물Enhanced(H),10
A130730,KOSEF 단기자금,10
A131890,KINDEX 삼성그룹동일가중,10
A132030,KODEX 골드선물(H),10
A133690,TIGER 미국나스닥100,10
A133820,화인베스틸,1
A134380,미원화학,1
A134790,시디즈,1
A136340,KBSTAR 중기우량회사채,10
A136490,선진,1
A137610,TIGER 농산물선물Enhanced(H),10
A137930,마이다스 200커버드콜5%OTM,10
A138040,메리츠금융지주,1
A138230,KOSEF 미국달러선물,10
A138250,엔에스쇼핑,1
A138490,코오롱플라스틱,1
A138520,TIGER 삼성그룹펀더멘털,10
A138530,TIGER LG그룹+펀더멘털,10
A138540,TIGER 현대차그룹+펀더멘털,10
A138910,KODEX 구리선물(H),10
A138920,KODEX 콩선물(H),10
A138930,BNK금융지주,1
A139130,DGB금융지주,1
A139220,TIGER 200 건설,10
A139230,TIGER 200 중공업,10
A139240,TIGER 200 철강소재,10
A139250,TIGER 200 에너지화학,10
A139260,TIGER 200 IT,10
A139270,TIGER 200 금융,10
A139280,TIGER 경기방어,10
A139290,TIGER 200 경기소비재,10
A139310,TIGER 금속선물(H),10
A139320,TIGER 금은선물(H),10
A139480,이마트,1
A139660,KOSEF 미국달러선물인버스,10
A140570,KBSTAR 수출주,10
A140580,KBSTAR 우량업종,10
A140700,KODEX 보험,10
A140710,KODEX 운송,10
A140890,트러스제7호,3
A140910,에이리츠,3
A140950,파워 코스피100,10
A143210,핸즈코퍼레이션,1
A143460,KINDEX 밸류대형,10
A143850,TIGER 미국S&P500선물(H),10
A143860,TIGER 헬스케어,10
A144600,KODEX 은선물(H),10
A144620,코오롱머티리얼,1
A145210,세화아이엠씨,1
A145270,케이탑리츠,3
A145670,KINDEX 인버스,10
A145720,덴티움,1
A145850,TREX 펀더멘탈 200,10
A145990,삼양사,1
A145995,삼양사우,1
A147970,TIGER 모멘텀,10
A148020,KBSTAR 200,10
A148070,KOSEF 국고채10년,10
A150460,TIGER 중국소비테마,10
A152100,ARIRANG 200,10
A152280,KOSEF 200 선물,10
A152330,코리아오토글라스,1
A152380,KODEX 국채선물10년,10
A152500,KINDEX 레버리지,10
A152550,한국ANKOR유전,2
A152870,파워 200,10
A153130,KODEX 단기채권,10
A153270,KOSEF 코스피100,10
A153360,하이골드3호,4
A155660,DSR,1
A155900,바다로19호,4
A156080,KODEX MSCI Korea,10
A157450,TIGER 단기통안채,10
A157490,TIGER 소프트웨어,10
A157500,TIGER 증권,10
A159650,하이골드8호,4
A159800,마이티 코스피100,10
A160580,TIGER 구리실물,10
A161000,애경유화,1
A161390,한국타이어,1
A161510,ARIRANG 고배당주,10
A161890,한국콜마,1
A163560,동일고무벨트,1
A166400,TIGER 200커버드콜5%OTM,10
A167860,KOSEF 국고채10년레버리지,10
A168300,KTOP 코스피50,10
A168490,한국패러랠,2
A168580,KINDEX 중국본토CSI300,10
A169950,KODEX 중국본토 A50,10
A170350,TIGER 베타플러스,10
A170900,동아에스티,1
A172580,하이골드12호,4
A174350,TIGER 로우볼,10
A174360,KBSTAR 중국본토대형주CSI100,10
A175330,JB금융지주,1
A176710,파워 중기국고채,10
A176950,KODEX 국채선물10년인버스,10
A180640,한진칼,1
A18064K,한진칼우,1
A181480,KINDEX 미국다우존스리츠(합성 H),10
A181710,NHN엔터테인먼트,1
A182480,TIGER 미국MSCI리츠(합성 H),10
A182490,TIGER 단기선진하이일드(합성 H),10
A183190,아세아시멘트,1
A183700,KBSTAR 채권혼합,10
A183710,KBSTAR 주식혼합,10
A185680,KODEX 미국S&P바이오(합성),10
A185750,종근당,1
A189400,ARIRANG 글로벌MSCI(합성 H),10
A190150,ARIRANG 바벨 채권,10
A190160,ARIRANG 단기유동성,10
A190620,KINDEX 단기통안채,10
A192080,더블유게임즈,1
A192090,TIGER 차이나CSI300,10
A192400,쿠쿠홀딩스,1
A192650,드림텍,1
