,name,section
A101170,우림기계,1
A101240,씨큐브,1
A101330,모베이스,1
A101390,아이엠,1
A101400,엔시트론,1
A101490,에스앤에스텍,1
A101670,코리아에스이,1
A101680,한국정밀기계,1
A101730,조이맥스,1
A101930,인화정공,1
A102120,어보브반도체,1
A102210,해덕파워웨이,1
A102710,이엔에프테크놀로지,1
A102940,코오롱생명과학,1
A103230,에스앤더블류,1
A104040,대성파인텍,1
A104200,NHN벅스,1
A104460,동양피엔에프,1
A104480,티케이케미칼,1
A104540,코렌텍,1
A104620,노랑풍선,1
A104830,원익머트리얼즈,1
A105330,케이엔더블유,1
A105550,트루윈,1
A105740,디케이락,1
A106080,지투하이소닉,1
A106190,하이텍팜,1
A106240,파인테크닉스,1
A106520,디지탈옵틱,1
A108230,톱텍,1
A108320,실리콘웍스,1
A108380,대양전기공업,1
A108490,로보티즈,1
A108790,인터파크,1
A108860,셀바스AI,1
A109080,옵티시스,1
A109610,에스와이패널,1
A109740,디에스케이,1
A109820,진매트릭스,1
A109860,동일금속,1
A109960,에이프로젠 H&G,1
A110020,전진바이오팜,1
A110790,크리스에프앤씨,1
A110990,디아이티,1
A111710,남화산업,1
A111820,지와이커머스,1
A111870,삼본정밀전자,1
A112040,위메이드,1
A112240,에스에프씨,1
A113810,디젠스,1
A114120,크루셜텍,1
A114190,웰크론강원,1
A114450,KPX생명과학,1
A114570,지스마트글로벌,1
A114630,우노앤컴퍼니,1
A114810,아이원스,1
A115160,휴맥스,1
A115180,큐리언트,1
A115310,인포바인,1
A115440,우리넷,1
A115450,지트리비앤티,1
A115480,씨유메디칼,1
A115500,케이씨에스,1
A115530,씨엔플러스,1
A115570,스타플렉스,1
A115610,이미지스,1
A115960,연우,1
A117670,알파홀딩스,1
A117730,티로보틱스,1
A118990,모트렉스,1
A119500,포메탈,1
A119610,인터로조,1
A119830,아이텍반도체,1
A119850,지엔씨에너지,1
A119860,다나와,1
A120240,대정화금,1
A121440,골프존뉴딘홀딩스,1
A121600,나노신소재,1
A121800,비덴트,1
A121850,코이즈,1
A121890,에스디시스템,1
A122310,제노레이,1
A122350,삼기오토모티브,1
A122450,KMH,1
A122640,예스티,1
A122690,서진오토모티브,1
A122800,썬텍,1
A122870,와이지엔터테인먼트,1
A122990,와이솔,1
A123010,옵토팩,1
A123040,엠에스오토텍,1
A123260,파인넥스,1
A123330,제닉,1
A123410,코리아에프티,1
A123420,선데이토즈,1
A123570,이엠넷,1
A123750,알톤스포츠,1
A123840,한일진공,1
A123860,아나패스,1
A124500,아이티센,1
A125210,아모그린텍,1
A126600,코프라,1
A126640,화신정공,1
A126700,하이비젼시스템,1
A126870,뉴로스,1
A126880,제이엔케이히터,1
A127120,디엔에이링크,1
A127160,매직마이크로,1
A127710,아시아경제,1
A128540,에코캡,1
A128660,피제이메탈,1
A130500,GH신소재,1
A130580,나이스디앤비,1
A130740,티피씨글로벌,1
A131030,디에이치피코리아,1
A131090,시큐브,1
A131100,리켐,1
A131180,딜리,1
A131220,대한과학,1
A131290,티에스이,1
A131370,알서포트,1
A131390,피앤이솔루션,1
A131400,액트,1
A131760,파인텍,1
A131970,테스나,1
A133750,메가엠디,1
A134060,이퓨쳐,1
A134580,디엠티,1
A134780,화진,1
A136480,하림,1
A136510,쎄미시스코,1
A136540,윈스,1
A137400,피엔티,1
A137940,넥스트아이,1
A137950,제이씨케미칼,1
A138070,신진에스엠,1
A138080,오이솔루션,1
A138360,에이씨티,1
A138580,비즈니스온,1
A138610,나이벡,1
A138690,엘아이에스,1
A139050,데일리블록체인,1
A139670,넥스트리밍,1
A140070,서플러스글로벌,1
A140410,메지온,1
A140520,대창스틸,1
A140670,알에스오토메이션,1
A140860,파크시스템스,1
A141000,비아트론,1
A141020,포티스,1
A141070,맥스로텍,1
A141080,레고켐바이오,1
A142210,유니트론텍,1
A142280,녹십자엠에스,1
A142760,바이오리더스,1
A143160,아이디스,1
A143240,사람인에이치알,1
A143540,영우디에스피,1
A144510,녹십자랩셀,1
A144960,뉴파워프라즈마,1
A145020,휴젤,1
A147760,마이크로프랜드,1
A147830,제룡산업,1
A148140,비디아이,1
A148250,알엔투테크놀로지,1
A149940,모다,1
A149950,아바텍,1
A149980,하이로닉,1
A150840,인트로메딕,1
A150900,파수닷컴,1
A151860,KG ETS,1
A151910,나노스,1
A153460,네이블,1
A153490,우리이앤엘,1
A153710,옵티팜,1
A154030,아시아종묘,1
A154040,솔루에타,1
A155650,와이엠씨,1
A156100,엘앤케이바이오,1
A158310,인터불스,1
A159580,제로투세븐,1
A159910,스킨앤스킨,1
A160550,NEW,1
A160600,에스엔텍,1
A160980,싸이맥스,1
A161570,THE MIDONG,1
A161580,필옵틱스,1
A166090,하나머티리얼즈,1
A166480,코아스템,1
A168330,내츄럴엔도텍,1
A170030,현대공업,1
A170790,파이오링크,1
A170920,엘티씨,1
A171010,램테크놀러지,1
A171090,선익시스템,1
A171120,라이온켐텍,1
A173130,오파스넷,1
A173940,에프엔씨엔터,1
A174880,장원테크,1
A174900,앱클론,1
A175140,인포마크,1
A175250,아이큐어,1
A176440,에이치엔티,1
A177350,베셀,1
A177830,파버나인,1
A178320,서진시스템,1
A178780,유테크,1
A178920,SKC코오롱PI,1
A179290,엠아이텍,1
A179900,유티아이,1
A180400,캔서롭,1
A181340,이즈미디어,1
A182360,큐브엔터,1
A182400,에이티젠,1
A182690,테라셈,1
A183300,코미코,1
A183490,엔지켐생명과학,1
A184230,SGA솔루션즈,1
A185490,아이진,1
A187220,디티앤씨,1
A187270,신화콘텍,1
A187420,제노포커스,1
A187790,나노,1
A187870,디바이스이엔지,1
A189300,인텔리안테크,1
A189690,포시에스,1
A189860,서전기전,1
A189980,흥국에프엔비,1
A190510,나무가,1
A191410,육일씨엔에쓰,1
A191420,테고사이언스,1
A192250,케이사인,1
A192390,윈하이텍,1
A192410,감마누,1
A192440,슈피겐코리아,1
A193250,와이제이엠게임즈,1
A194480,데브시스터즈,1
A194510,파티게임즈,1
A194700,노바렉스,1
A195440,퓨전데이타,1
A195990,유지인트,1
A196170,알테오젠,1
A196300,애니젠,1
A196450,텔루스,1
A196490,디에이테크놀로지,1
A196700,웹스,1
A197140,디지캡,1
A197210,리드,1
A198440,고려시멘트,1
A200130,콜마비앤에이치,1
A200230,텔콘RF제약,1
A200470,하이셈,1
A200670,휴메딕스,1
A200710,에이디테크놀로지,1
A200780,비씨월드제약,1
A201490,미투온,1
A203450,유니온커뮤니티,1
A203650,드림시큐리티,1
A203690,프로스테믹스,1
A204020,엠코르셋,1
A204620,글로벌텍스프리,1
A204630,화이브라더스코리아,1
A204840,지엘팜텍,1
A204990,현성바이탈,1
A205100,엑셈,1
A205470,휴마시스,1
A205500,액션스퀘어,1
A206400,엔터메이트,1
A206560,덱스터,1
A206640,바디텍메드,1
A206650,유바이오로직스,1
A207760,미스터블루,1
A208140,정다운,1
A208340,파멥신,1
A208350,지란지교시큐리티,1
A208370,셀바스헬스케어,1
A208640,썸에이지,1
A208710,바이오로그디바이스,1
A208860,엔지스테크널러지,1
A211270,AP위성,1
A212560,네오오토,1
A213090,미래테크놀로지,1
A213420,덕산네오룩스,1
A214150,클래시스,1
A214180,민앤지,1
A214270,퓨쳐스트림네트웍스,1
A214310,세미콘라이트,1
A214370,케어젠,1
A214430,아이쓰리시스템,1
A214450,파마리서치프로덕트,1
A214680,디알텍,1
A214870,에치디프로,1
A215000,골프존,1
A215090,한컴유니맥스,1
A215100,로보로보,1
